id,name,description,ingredients
12,红烧草鱼,红烧草鱼（Braised carp）是一道四川省的传统名菜，属于川菜系中的家常菜，其特点是香辣爽口，色鲜味浓。,草鱼，湿淀粉，猪里脊，白酒
13,麻辣虾,麻辣虾是一道美食，主要材料有海白虾，辅料有干辣椒、花椒、姜、蒜切片，葱切丝、泡辣椒、泡姜等，属于川菜，是一种私家菜。麻辣虾以麻辣口味为主，炒制而成的虾，成为麻辣虾。,虾
14,鱼香鸡丝,鱼香鸡丝是是一道菜品，属于川菜。主料是鸡胸肉，配料是香菇、胡萝卜等，调料为番茄酱、酱油、水淀粉等，该菜品主要是通过翻炒的做法而成。,鸡胸肉，胡萝卜，香菇
15,红烧鸡爪,红烧鸡爪（Braised chicken）属于东西交汇、南北通吃的大众菜肴。四大菜系、八大菜系中，处处可以寻觅到它的踪迹。它的材料主要有鸡爪等，口味可烧成香辣。,鸡爪
16,土豆红烧肉,土豆红烧肉是一道传统菜肴，属于川菜系，制作原料主要有土豆、带皮五花肉、等，口味鲜美，营养丰富，香嫩酥软，烹饪简单。,带皮五花肉，土豆，芋头，配料，鹌鹑蛋，胡萝卜，八角，五香，葱，姜，蒜
17,水煮鱼,水煮鱼也称为江水煮江鱼、水煮鱼片，最早流行于重庆市渝北区翠云乡。水煮鱼通常由新鲜草鱼、豆芽、辣椒等食材制作而成。“油而不腻、辣而不燥、麻而不苦、肉质滑嫩”是其特色。[1] ,草鱼，黄豆芽
18,火爆大头菜,火爆大头菜是用大头菜制作的一道家常菜，香脆可口。 大头菜含有维生素A、维生素B族、维生素C和维生素D很丰富。常吃可提神醒脑，对身体健康有很大的帮助。,大头菜，辣椒
19,鸡油广肚,鸡油广肚是一道由鱼肚、花生油等食材制成的食品。,鱼肚100克
20,重庆辣子鸡,辣子鸡，是一道经典的川菜。一般以整鸡为主料，加上葱、干辣椒、花椒、盐、胡椒、味精等多种材料精制而成，虽然是同一道菜，各地制作也各有特色。辣子鸡因各地的不同制作方法也有不同的特色，深受各地人们的喜爱。此菜成菜色泽棕红油亮，麻辣味浓。,整鸡，干辣椒、麻椒、胡椒
21,贵妃鸡翼,鸡中翼是小朋友特别爱吃的食物，但洋快餐的炸鸡翅吃多了容易上火，且有垃圾食品之嫌。在日常生活中，推荐这款容易下饭且口味独特的贵妃鸡翼给各家庭主妇，不但小朋友喜欢，大人也会耳目一新。,
22,苦茭鹅掌汤,苦茭，俗称小蒜，生长期10个月，其味微苦，有清热解毒之功效，可凉拌、泡制、煲汤，尤以煲汤更鲜美，深得食客青睐·,"苦茭,鹅掌"
23,胡萝卜烧鸡,胡萝卜烧鸡是一款川菜菜品，制作原料主要有母鸡、胡萝卜等。,母鸡，胡萝卜
24,糊辣鱼,糊辣鱼是一道色香味俱全的传统名菜，属于川菜系。此菜香辣咸鲜，肉质鲜嫩，糊辣味浓郁。制作此菜应选择刺少的鱼，如草鱼、鲈鱼、桂鱼； 在给鱼肉码味、上浆时也可以加入鸡蛋清，但如果采用加鸡蛋清上浆的方法，上浆后的鱼肉必须放在烧至四成热的油中滑30秒后再进行烹调。,
25,竹荪肝糕汤,1. 猪肝用凉水洗净，用刀背剁成泥状，用碗盛上；2. 葱、姜拍破泡入清汤内（用三分之一清汤）；3. 将鸡蛋打散；4. 肝泥放入凉汤内，用筷子搅匀；5. 把鸡蛋清放入，加上精盐、料酒、味精、胡椒粉再用干净汤过罗去渣不要；,竹荪(干)，猪肝
26,油爆青虾,以大青虾为主要原料的一道家常菜肴，色泽红润，口味咸甜略带酸。青虾肉质松软，易消化，对身体虚弱以及病后需要调养的人是极好的食物；虾中含有丰富的镁，镁对心脏活动具有重要的调节作用，能很好的保护心血管系统，它可减少血液中胆固醇含量，防止动脉硬化，,
27,水煮牛蛙,1. 先将牛蛙洗剥干净，剁好；2.牛蛙再用香辣粉拌匀，腌放15分钟；3. 把牛蛙放热油锅内煸炒至玉白色盛出；4. 继续放油，然后放葱、姜、蒜头、尖红辣椒、香辣粉炒出香味；5. 加一大碗水，再放入煸好的牛蛙；6. 依次放料酒、盐、 酱油，等快熟时；7. 放入生菜叶，加点鸡精即可出锅。,牛蛙，生菜
28,椒麻浸鲈鱼,川菜中要学会的椒麻浸鲈鱼的做法，椒麻浸鲈鱼的做法非常的家常，其实椒麻浸鲈鱼的做法没有什么特别，这道菜不仅好吃，按照家人的口味，花点心思，用心得做好椒麻浸鲈鱼。,鲈鱼1000克
29,松仁玉米烩财鱼,松仁玉米烩财鱼是一道美食，由玉米、 松子等原料制作而成。,
30,明炉三菌猪肝汤,明炉三菌猪肝汤是一道汤品，以猪肝、白牛肝菌（干）、香菇、绿豆芽等为主要原料制成。,猪肝，白牛肝菌
31,嫩蛋虾仁,嫩蛋虾仁是以虾仁，鸡蛋等食材制成的一道美食。,鸡蛋，虾仁
32,冬菇炖鸡汤,冬菇炖鸡汤，一道滋补汤，制作原料主要有母鸡、干香菇、虾米等。,母鸡 1500克
33,五香兔头,新式手撕兔是一道以兔头、盐等为主要食材制作的川菜。,兔头
34,乌龙团珠,乌龙团珠是海参（750克），鸽蛋（400克），猪油(炼制100克）为主料制作而成的菜品。,
35,香辣果子狸,,
36,酥烤大方,这道酥方的特色，在于肉皮酥脆而不油腻，吃时必须趁热揭起酥皮，沾甜面酱夹大葱，用薄饼卷食。酥皮揭起后，余下的肉块端回厨房再制。第二次送上桌的是蒜泥白肉及四冷盘（酸辣黄瓜、姜醋四季豆、麻辣腐皮、腌菜心），由里脊部分切片做成的；第三道送上桌的是从肋条肉炒出的回锅肉，配上精致小点螺丝卷，最后肋骨部分剁开，做糖醋排骨、椒盐排骨或鱼香排骨。至此，酥方才算全部吃完，所以此菜亦可名之为“酥方四吃”。[1] ,猪肋条肉，五花肉
37,涪陵咸肉,涪陵咸肉是一道菜品，主料为猪肉，配料为盐，制作方法是首先把肉处理一下，把肉上盐，上完盐后把肉叠放起来，再上第二次盐，最后是复盐，腌制半个月左右即可。,猪肉
38,沙锅果子狸,沙锅果子狸是一道以果子狸为主要食材制作的菜品。,果子狸
39,成都腊猪头,,
40,成都元宝鸡,成都元宝鸡是一道菜品，主要制作材料有白砂糖30克 白酒10克 花椒30克 五香粉6克 胡椒粉6克。,鸡1200克
41,安岳咸肉,安岳咸肉是一道四川省资阳市安岳县的传统特色名菜，此菜外观清洁，刀工整齐，肌肉坚实，表面无粘液，切面的色泽鲜红，肥膘稍有黄色，具有咸肉固有的风味。在安岳咸肉是四川省1982年咸肉评比中的省优产品。咸肉是用食盐腌制的，又叫渍肉、盐肉、腌肉。,猪肉
42,四川泡菜,四川泡菜又叫泡酸菜，传统特色菜肴，属川菜系。味道咸酸，口感脆生，色泽鲜亮，香味扑鼻，开胃提神，醒酒去腻，老少适宜，一年四季都可以制作，但制作时气候环境十分讲究，是居家过日子常备的小菜，是中国四川家喻户晓的一种佐餐菜肴。四川泡菜制作简单，易于储存，食用方便。原料有萝卜缨、白菜帮、青菜茎、黄瓜、豆角等。蔬菜原料经泡渍发酵，就成了酸泡菜。因是冷加工，有益成分损失较少，所以营养丰富，是很好的低热量食品。泡菜还被当做调料和药用，如酸菜鱼、泡椒鲫鱼、榨菜肉丝等很多菜都有泡菜；药用功能方面，如用泡萝卜去寒，用泡青菜清热去暑，用泡茄子治腮腺炎，用泡姜祛寒御湿等。四川泡菜按用途可分：调料菜和下饭菜。2010年，四川泡菜成功申报为国家地理标志保护产品。保护区域涵盖四川21个市(州)144个县，保护面积2000万公顷。[1] ,白萝卜，花椒，青菜，朝天椒，榨菜，豇豆
43,豆茸燕窝羹,豆茸燕窝羹是一道以燕窝、青豆、香菇等为主要材料的甜品。,燕窝150克。
44,腊鸭肫,腊鸭肫是一款家常菜品，制作原料主要有鸭肫、盐等。,鸭肫
45,滋补翅盅,滋补翅盅是四川省传统的地方名菜，属于川菜系。干鱼翅胶质丰富、清爽软滑，是一种高蛋白、低糖、低脂肪的高级食品。鱼翅含降血脂、抗动脉硬化及抗凝成份，对心血管系统疾患有防治功效；鱼翅含有丰富的胶原蛋白，有利于滋养、柔嫩皮肤黏膜，是很好的美容食品。鱼翅味甘、咸，性平，能渗湿行水，开胃进食，清痰消鱼积，补五脏，长腰力，益虚痨。,鱼翅
46,朝天锅,"朝天锅是山东潍坊地区传统名吃，属鲁菜系。特色是以烙饼卷肉，食用时不需要锅具。[1] 起源于清代乾隆年间的民间早市，流传至今。潍坊朝天锅经过不断改进于 朝天锅1997年分别被中国烹饪协会、山东省贸易厅认定为“中华名小吃”、“山东名小吃”。2013年朝天锅制作技艺入选山东省级非遗名录[2] 。2014年山东十七地市地市代表菜评选活动朝天锅代言潍坊菜[3] 。潍坊朝天锅与北京的锅烧饼(即杂碎烩火烧)、西安的葫芦头(即杂碎烩饼)、长沙的火宫殿(即杂碎汤加辣椒)等都是异曲同工的中华饮食文化[4] 。朝天锅是用鸡肉、驴肉煨汤、以煮猪下货为主，有猪头、肝、肺、心、肚、肠，其中猪肠不要断的，并且要翻过来清洗。肠、口条、猪头肉要先用开水涮过，再放到老汤锅里煮，火候要掌握得恰到好处。猪下货煮熟后捞出切好备用,面饼擀好烙熟后也放到茅囤子中备用。所配小料也很讲究，葱段需切成长短一致的小段，咸菜疙瘩切好后再重新调汁腌制；鲜汤配以葱末、香菜末、醋、胡椒粉、辣椒面等小料[5] 。朝天锅以“逢二排七大集间,白浪河畔人如山。寒流雪翻火正红,下水香锅面朝天”闻名，朝天锅肉肥而不腻，汤清淡而不浑浊，加以薄饼卷食，其味无穷[5] 。",猪肉，猪下货，驴肉，烙饼，鸡肉
47,巴国燕翅羹,4. 炖锅内掺入高汤，放入鱼翅、燕窝，用小火炖2小时左右，调好味即成。, 燕窝100克 鱼翅(干)100克
48,麻辣牛肉条,麻辣牛肉条是以牛肉为主要食材的麻辣味食物。色泽红亮，质地干香酥脆，麻辣味厚。,牛肉
49,麻辣牛肉干,麻辣牛肉干是用牛肉制作的一道家常菜，颜色红亮油润、灯下剔透润泽、麻辣鲜香诱人、入口酥香成渣、酸甜鲜辣适中、大宴小酌佳品。牛肉含有矿物质和维他命B群，包括烟酸，维生素B1和核黄素。牛肉还是每天所需要的铁质的最佳来源。,牛肉
50,腊味肫,,鸭肫600克
51,糟青鱼,糟青鱼是一道江苏的地方传统名菜，属于苏菜系，糟香扑鼻，汤清味鲜，鱼肉细嫩，汤菜兼优。,青鱼
52,田七党参牛蛙盅,田七党参牛蛙盅是一道以牛蛙为主要材料制作的四川菜。,牛蛙300克
53,炸松仁肉,炸松仁肉是一道家常菜肴，主要材料为：猪肉(肥瘦)，松子（炒，油菜，花生油。,猪肉(肥瘦)300克
54,三鲜参片汤,三鲜参片汤是一道川菜，属药膳偏方、高血压食谱、防癌抗癌食谱、肝炎食谱。,"海参，白牛肝菌(干)20克,鸡胸脯肉100克,火腿50克,油菜30克,蛋糕50克"
55,胡玉美豆瓣酱,胡玉美豆瓣酱的制作方法是1.先将蚕豆去壳煮熟，用水漂洗后，放盆中堆放15-20小时。2.待蚕豆起黏性时摊开，将盐，面粉，蚕豆放适量水拌匀，每天翻一次，放置阳光下曝晒，15天后，不用搅拌，二个月即成。,蚕豆
56,麻辣牛柳,麻辣牛柳是一道传统名菜，“牛柳”指的是牛的里脊肉，麻辣牛柳属于川菜系，辣量可以适当改变，老少皆宜，美味可口。,牛肉
57,豆瓣俐子,豆瓣俐子是一道四川菜，由猪舌、豆瓣、盐等原料制作而成。,
58,脆皮肠头,脆皮肠头是一道主菜为猪大肠的美味佳肴。,猪大肠，黄瓜
59,竹荪蝴蝶鱼肚汤,竹荪蝴蝶鱼肚汤属川菜，适用于虚劳羸瘦、劳后虚弱、明虚遗精、产后风痉、吐血等症，有增强机体免疫能力的作用。,竹荪(干)50克 鱼肚300克 鸡胸脯肉200克
60,清汤燕窝,清汤燕窝是一道传统的地方名点。将燕窝放在没有油腻干净的瓷器中，用纯净水泡透发后捞在干净盘内用镊子钳净燕毛和其他杂质部分，用凉水清洗两遍后，用开水冲泡。 用开水将燕窝过一遍后再用开汤过一遍分装在小碗内，将盐、胡椒粉、味精料酒、加进清汤中，把味调好冲进小碗即成。,燕窝
61,水豆豉鸭舌,水豆豉鸭舌是一道以鸭舌、水豆豉、盐、味精等为主要食材制作的菜品。,鸭舌
62,明炉三菌甲鱼汤,明炉三菌甲鱼汤是一道川菜，主料：甲鱼500克。,甲鱼
63,平都牛肉松,平都牛肉松是四川名特产品。产品特点平都牛肉松 色泽金黄，味觉丰润，清香绵长，回甜溢口，与猪肉松难分伯仲，较鸡肉松实无高低，堪称熟食一绝。原料配方鲜牛肉100千克 白糖8千克 白酒0.6千克 白酱油14千克 生姜1千克,鲜牛肉，白酒
64,天麻乳鸽盅,天麻乳鸽盅美味菜品，主要原料雏鸽，天麻不可与御风草根同用，否则有令人肠结的危险。,雏鸽250克
65,凤衣蕺菜,,
66,冬菜扒鸭,适用于骨蒸潮热、肺热咳嗽、咳嗽痰少、口渴、身体虚弱，虚性水肿、便秘等病症。,鸭，冬寒菜
67,冬瓜咸肉,冬瓜咸肉是以主料冬瓜、辅料咸肉制成的美食。调料有味精、色拉油。,
68,东坡金脚,东坡金脚是一道美食，由猪蹄、冬寒菜、菠菜等原料制作而成。,猪蹄400克
69,龙眼珊瑚鹿肉,龙眼珊瑚鹿肉是一道以鹿肉、鹌鹑蛋(为主要食材制作的川菜。,
70,龙眼烧白,风味独特，可当主食。,猪肉，糯米
71,龙眼咸烧白,龙眼咸烧白是四川地区传统名菜，以辣椒、猪肋条肉、芥菜 等为材料。肥而不腻，火巴而不烂，味咸鲜香。,猪肉
72,鸡蓉鲍片,鸡蓉鲍片是一道美食，由鲍鱼、鸡胸脯肉等原料制作而成。,鲍鱼500克
73,鸡蓉鱼肚,鸡蓉鱼肚是一道美食，主要制作材料有鱼肚、鸡胸脯肉、鸡蛋清等。,鱼肚100克
74,鸡茸海蜇,鸡茸海蜇是一道以海蜇头为主要食材制作的菜品。,海蜇头，鸡胸脯肉、虾籽、鸡蛋清
75,鳜鱼相面,鳜鱼相面，主料：鳜鱼1000克。辅料：面条(干切面)100克。调料：花生油150克 豆瓣酱20克 酱油15克 盐2克 白砂糖25克 大葱25克 姜15克 大蒜15克 醋10克 味精10克 料酒15克 淀粉(玉米)15克 香油25克 花椒粉2克 。,鳜鱼
76,鲜椒鲈鱼,鲜椒鲈鱼是一道由鲈鱼为主要材料，配以青椒、红椒、葱、姜、蒜等做成的菜品，属于家常菜。该菜品主要通过把食材放入锅内蒸煮而成。,鲈鱼
77,鲍鱼鸽蛋,鲍鱼鸽蛋是一道美食，主要制作材料有鲍鱼等。,鲍鱼
78,鱼香番茄过江,调料：淀粉（玉米）12克，盐15克，酱油8克，白砂糖15克，醋15克，大蒜（白皮）8克，大葱8克，姜8克，花生油40克,番茄，油菜
79,鱼香排骨,鱼香排骨是四川省传统的地方名菜，属于川菜系。将猪排骨洗净，剁成3厘米长的段；葱洗净切葱花；烧锅内放油，烧至六成热时，将排骨下锅爆去腥味，下豆瓣、姜、蒜、葱花（一半）同炒，炒出香味；待油呈红色时，放糖、盐、酱油、高汤1000克、猪油等调料，烧60分钟；下湿淀粉收汁，加（另一半）葱花，淋上醋装碟即成。,猪大排
80,鱼香回锅鸭,,鸭胸脯肉
81,香辣猪蹄,香辣猪蹄是一道美食，主要材料有猪蹄，配料有花椒、干红辣椒、葱、姜、蒜等。其味道香辣可口，肥而不腻。香辣猪蹄是一道家常菜。 香辣猪蹄烹饪方法有五种。该菜适宜于经常四肢乏力、两腿抽筋、麻木、消化道出血、失血休克及缺血性脑病患者食之。,猪蹄
82,香菇鱼块,香菇鱼块是以青鱼。香菇、鸡蛋等食材制成的一道美食，香菇滑嫩，汤味鲜美，具有延缓衰老、补气、脾调养等食疗调理功效。,青鱼，香菇，鸡蛋
83,青蒿蹄花汤,青蒿蹄花汤是一道美食，主要制作材料有青蒿、猪蹄等。,猪蹄，青蒿
84,雪银虾饼,雪银虾饼是以对虾、肥膘肉等为主要食材制作的美食。,对虾 
85,雪塌桃脯,雪塌桃脯是一道菜品，属四川菜，口味：甜味，此菜糖汁明亮，味甜爽口。,蜜桃，鸡蛋
86,锅粑虾仁,锅粑虾仁是以虾仁、锅粑等食材制成的一道美食，调料主要为色拉油、盐、番茄酱等，该道菜通过将食材倒入锅中翻炒制作而成。,虾仁，锅粑（小米）
87,锅烧肉,锅烧肉是一道传统名菜，属于苏菜系，以猪肉为制作主料，锅烧肉的烹饪技巧以炸为主，口味属于咸鲜味。此菜色金黄，酥脆香可口。,猪肉
88,锅烧牛肉,锅烧牛肉是由牛肉与鸡蛋等制作的家常热菜。,牛肉与鸡蛋，葱花、姜末等
89,野菌烧裙边,,甲鱼300克
90,酸萝卜马蹄炖鸭,酸萝卜马蹄炖鸭是一道美食，由鸭、萝卜等原料制成。,
91,酸菜蛇段汤,酸菜蛇段汤是一道以酸白菜、蛇肉为主要食材制作的川菜。,蛇肉， 酸白菜
92,酱香耳卷,"酱香耳卷是一道由猪耳、,猪舌等食材制成的食品。",猪耳，猪舌
93,酱香子姜,酱香子姜是川菜菜谱之一，以子姜为制作主料，酱香子姜的烹饪技巧以酱菜为主，口味属于酱香味。酱香子姜的特色：酱香浓郁，微辛回甜，脆嫩适口。,
94,酥炸麻雀,,
95,酥炸虾排,酥炸虾排是一道美食，制作材料有对虾500克。等。,对虾500克。
96,酥炸牛蛙腿,酥炸牛蛙腿是以牛蛙为主要材料制作而成的一道川菜。,
97,辣人参鸡,辣人参鸡是一道食品，制作原料有公鸡、人参、辣椒(红、尖、干) 、大葱等。,公鸡
98,软炸烧白,软炸烧白是一道 四川菜，主料： 猪肋条肉（五花肉）250克 糯米100克,猪肋条肉（五花肉），糯米
99,豆瓣全肘,豆瓣全肘是一道菜品，主料是猪肉等，配料是花生油等。,猪肉，花生油
100,虫草龟蛇汤,虫草龟蛇汤是一道以乌龟、蛇肉为主要食材制作的粤菜。,乌龟，蛇肉
101,蕉条茄子,蕉条茄子是一道美食，主料为茄子400克。,茄子400克
102,萝卜干拌肚丝,,猪肚500克
103,芝麻牛肉,芝麻牛肉是热菜菜谱之一，以牛肉为制作主料，芝麻牛肉的烹饪技巧以煎菜炒菜为主，口味属于其它口味。口感：柔软，香辣。芝麻牛肉制作提示本品有油炸过程，需备花生油约500克。,牛肉(后腿)500克
104,芙蓉青蟹,特点芙蓉青蟹制作简单，营养丰富，口感良好。,螃蟹，对虾
105,船娘煨鸡,船娘煨鸡是一道江南地区的传统名菜，属于浙菜系。主要用料是 母鸡1500克。据说很多年以前，有一个船妇为宴请客人，到陆地买了一只鸡炖上。船上捕捞鱼虾比较方便，还要做一些菜，由于船上餐具简陋，没办法多做。待鸡块炖好时，只好将鱼虾一起放入锅内和鸡一起煨炖，客人吃后赞不绝口。此菜后来又传上陆地，江南一带常用此法制作招待贵客。后来经过厨师精心捉摸，将鱼虾改制成鱼丸、虾丸和鸡一起煨炖。此法做汤具有冬夏之分：冬天做浓汤（原汤），鸡肉鲜烂、汤浓纯香。夏天做清汤，汤味清鲜可口。,
106,腌川暖锅,腌川暖锅是四川省传统的名肴，属于川菜系。糟青鱼肉段清洗干净，切成长6厘米、宽3厘米的块。白菜去掉老根和外皮，洗净后切成长4厘米、宽2 厘米的条，再下入沸水锅中焯熟，捞出沥净水。熟咸瘦肉切成小长方块。暖锅刷洗干净，在锅内底面先铺放上白菜条和笋片，再放上糟青鱼肉块、熟咸瘦肉块，再加入黄酒、白汤500 克、精盐、味精，盖上暖锅盖，将点燃的木炭放入暖锅炉膛内，烧约15分钟，至汤沸鱼熟后再加入猪油烧匀，即可上桌。白汤可陆续补添加入暖锅中，边烧边食。,猪肉（瘦）200克
107,腊肉菜头汤,腊肉菜头汤是川菜菜谱之一，以腊肉为制作主料，腊肉菜头汤的烹饪技巧以烧菜为主，口味属于咸鲜味。腊肉菜头汤的特色为，清香醇厚，有特殊的烟熏味。,芥菜头300g
108,腊肉绿豆汤,,
109,胡萝卜鳜鱼,菜系分类：川菜功效分类： 肝调养食谱,鳜鱼1000克，肥膘肉
110,肚条豆芽汤,,
111,网油鸡卷,网油鸡卷是一道美食，主料：鸡胸脯肉500克、猪网油1000克。,
112,罐煨牛筋,罐煨牛筋是一道美食。主料是牛蹄筋(泡发)，配料是香菇（干）、火腿等，调料为盐等，主要通过煨制的做法而成。,牛蹄筋(泡发)(600克)
113,绍子鱿鱼,绍子鱿鱼属于川菜菜系，是以藕粉、黄花菜为主料，加入盐、姜、蒜等调味料做成的一道素菜。本菜含有丰富的蛋白质和微量元素，口味麻辣鲜香，特别适合老年人及三高人群食用。,藕粉(300克)
114,红瑰焖肉,红瑰焖肉，是一道川菜，适合孕妇产妇吃，气血双补，口味咸甜味。,猪里脊
115,红橘粉蒸牛蛙,红橘粉蒸牛蛙是一道以牛蛙为主要食材制作的川菜。,牛蛙
116,红参龟凤汤,红参龟凤汤是一道由乌龟、雏鸽、人参等做成的美食。,乌龟，雏鸽
117,素香肠,素香肠是一道菜品，主料为面肠、面筋球、豆皮、太白粉、地瓜粉、面粉。,面筋球
118,素牛肉,,
119,糖醋鳜鱼卷,糖醋鳜鱼卷为糖醋味川菜，有养脾补气之功效，同样适合学龄期儿童食用。,鳜鱼
120,糖醋茄饼,糖醋茄饼是一道美味可口的小吃，属于川菜系。将茄子削净皮，切成直径5厘米，2厘米厚的圆形片，用刀从中间切开(底部相连，不要切断)；猪肥瘦肉洗净切细肉末待用；淀粉（4克）放碗内加水调出湿淀粉（8克）；用少许盐将肉末调好后，填进每个茄饼里； 将鸡蛋打散，与玉米粉和在一起，调成蛋糊；将葱、姜、蒜切末待用；用白糖、醋、酱油、料酒、盐、味精和水淀粉调汁待用；锅中放油烧热，把茄饼均匀地裹上蛋糊，依次下油锅炸金黄色，捞出沥油，放碟中待用；锅中余油倒出，留少许，把葱姜蒜下锅稍炒，烹入调好的汁，炒熟，浇在茄饼上即可。,茄子
121,糊辣姜汁鱼,糊辣姜汁鱼是一道菜品，主要制作食材是鳜鱼，配料是番茄、干辣椒等，调料是胡椒粉、酱油、姜等，通过大火烧制而成。,鳜鱼
122,竹荪滋补老鸡汤,,母鸡，竹干
123,竹荪丸子,"竹荪丸子原料有竹荪(干)200克,猪肉(肥瘦)300克",竹荪(干)，猪肉
124,福山烧小鸡,福山烧小鸡是山东福山地区特色传统名菜之一，属于鲁菜菜系中很有特色的菜式之一，福山烧小鸡以鸡、花生为主要材料，烹饪以烧菜为主。红润光亮，形态美观，小鸡肉嫩味香，浓郁醇厚，软绵适口。,鸡
125,盐白菜爆鸭舌,盐白菜爆鸭舌是一道菜品，主料为鸭舌。,
126,白油猪肝,1. 木耳用温热水发涨，摘蒂，淘净。小白菜心淘洗干净。2. 猪肝洗净，去筋切成薄片。姜、蒜切成方片。葱切2.4 厘米长节子。泡辣椒切成马耳朵节。3. 在碗内将盐，水豆粉、红酱油加汤兑成滋汁；葱、姜、蒜、泡辣椒、木耳、小白菜心等小配料放于滋汁碗内。4. 炒锅置旺火上，放入猪油，随即将猪肝用盐、水豆粉拌匀。待油烧至七成热时，将猪肝下锅炒，猪肝炒至散籽、发伸，立即放入配料合炒。炒匀后倒入碗内滋汁，炒转起锅，放花椒面即成。,猪肝
127,番茄鸡蛋竹荪汤,番茄鸡蛋竹荪汤是以番茄、鸡蛋为主要食材制作而成的一道汤品，属于川菜，口感鲜美。,竹荪(干)
128,生菜大明虾,将明虾洗干净用碟盛起，加绍酒15克、精盐5克、姜、葱，拌匀，放落蒸笼蒸约7分钟取出，去壳开两边，去虾肠，用碟盛起。,大虾，火腿
129,猪网油鸡卷,3 馅平铺在网油上卷成直径2厘米的肉卷（卷两层网油，多则不酥）； 鸡卷外层蘸上稀蛋清糊，滚上玉米粉； 锅中放油，烧至四成热，将鸡卷吞炸至表皮黄脆时捞出；. 片成大抹刀片，码放盘中即成。,鸡胸脯肉200克 肥膘肉100克
130,熘双色鱼丝,熘双色鱼丝是一道美食，制作原料主要有鳜鱼、胡萝卜等。,鳜鱼胡萝卜
131,烧麦穗乌鱼花,烧麦穗乌鱼花，川菜，食材有黑鱼、虾仁等。,
132,烤叫化鸡,烤叫化鸡为一款经典的民间美食。属川菜菜系．其做法是采用新鲜荷叶将鸡包裹其内，放入烤箱烤制而成，特点是黄而不焦，骨肉分离，酥香不腻，鲜嫩无比，风味十分独特。烤叫化鸡不仅色香味美，而其有降血脂、提神、清肺之功能，是理想的休闲食品，老少皆宜。,鸡
133,烟香平鱼,烟香平鱼的制作要诀：熏料：樟木屑、红茶、水果皮等各适量。食物相克：平鱼忌用动物油炸制；不要和羊肉同食。,平鱼500克。
134,炸鱼排,"炸鱼排是一道简单的家常菜，材料是鱼肉一斤草鱼或鳕鱼,面粉,鸡蛋一个,红辣椒,酱油,醋,糖,葱,姜,蒜,番茄酱,芡粉。",鱼排
135,炸脆鳝,炸脆鳝是一道美食，主料是鳝鱼，配料是姜、胡椒粉，调料为花生油、盐、味精等，主要通过油炸的方法制作而成。,鳝鱼
136,炖酥肉,炖酥肉是一道家常菜，制作原料主要有猪肋条肉（五花肉）、鸡蛋、淀粉(玉米)。,猪肋条肉（五花肉）500克
137,灯影牛肉（二）,,
138,清蒸荷包肚,清蒸荷包肚是由猪肚、猪肉(肥瘦)、火腿等作为主要食材，大葱、胡椒粉、味精等作为主要调料所做成的一道菜品。该道菜品是通过蒸的做法制作而成的。[1] ,
139,清蒸板鸭,,
140,清汤鱿鱼方,清汤鱿鱼方是一道美食，原料是鱿鱼、冬笋等。,鱿鱼(干)
